gene_1	1914.833
gene_2	870.5
gene_3	1026.625
gene_4	1776.8
gene_5	1065
gene_6	651.625
gene_7	911.9091
gene_8	893.0909
gene_9	1076.545
gene_10	892.7692
gene_11	1063
gene_12	1518.5
gene_13	2996
gene_14	1247.333
gene_15	1309
gene_16	3893.357
gene_17	622.1333
gene_18	2293
gene_19	631
gene_20	952.1667
gene_21	948
gene_22	1119.909
gene_23	1628.25
gene_24	3566
gene_25	1615.733
gene_26	931.8
gene_27	928.75
gene_28	838
gene_29	3590.2
gene_30	2177
gene_31	874.5
gene_32	1082.75
gene_33	1294.471
gene_34	1926.143
gene_35	977.6875
gene_36	1546
gene_37	538.7143
gene_38	1130.875
gene_39	763.5714
gene_40	1804.333
gene_41	748
gene_42	1130.375
gene_43	1436
gene_44	2378.25
gene_45	1891
gene_46	2259.833
gene_47	3203.455
gene_48	1071.5
gene_49	5663
gene_50	1863.143
gene_51	1149
gene_52	1517.143
gene_53	467
gene_54	3000.667
gene_55	3291
gene_56	2624.444
gene_57	1496.5
gene_58	2216.778
gene_59	1035.667
gene_60	833.2
gene_61	1630.15
gene_62	2323.333
gene_63	629
gene_64	832.5
gene_65	1584.818
gene_66	1773.714
gene_67	2937.5
gene_68	1189.667
gene_69	2067.524
gene_70	1529.2
gene_71	1764.333
gene_72	1745.2
gene_73	2072.333
gene_74	846.9231
gene_75	2276.25
gene_76	1630.455
gene_77	1421.25
gene_78	1161.545
gene_79	1156.2
gene_80	938
gene_81	584.2222
gene_82	1506.167
gene_83	2879.4
gene_84	4777
gene_85	3164.6
gene_86	1692.5
gene_87	1357.667
gene_88	1998.455
gene_89	932
gene_90	97
gene_91	1898.2
gene_92	1990.867
gene_93	1238
gene_94	3905.636
gene_95	1972.625
gene_96	954.875
gene_97	3222
gene_98	971
gene_99	2221.8
gene_100	636.5714
gene_101	1630.8
gene_102	1610.571
gene_103	2043.25
gene_104	3121.667
gene_105	947
gene_106	1776.714
gene_107	1187.955
gene_108	2018.5
gene_109	1111.048
gene_110	1127.333
gene_111	884
gene_112	1798.105
gene_113	6077
gene_114	830.8889
gene_115	3260.571
gene_116	1426.25
gene_117	1947.182
gene_118	1858.333
gene_119	1292.167
gene_120	2672.4
gene_121	1373.857
gene_122	875
gene_123	1448.5
gene_124	3776
gene_125	1063.667
gene_126	1604.714
gene_127	1810
gene_128	1285.833
gene_129	730
gene_130	589.875
gene_131	5680
gene_132	865
gene_133	1896.5
gene_134	1272.5
gene_135	534
gene_136	867.3077
gene_137	2063.462
gene_138	444.4667
gene_139	2379
gene_140	1670.875
gene_141	1743
gene_142	1515.778
gene_143	1318
gene_144	1455.909
gene_145	1198
gene_146	1498
gene_147	2162.615
gene_148	959.5882
gene_149	1848.4
gene_150	7455.333
gene_151	807.7368
gene_152	1814.75
gene_153	1815.333
gene_154	854.5
gene_155	1990
gene_156	3633.333
gene_157	1140
gene_158	672.5
